"PV1SCIE","PV1READ","PV1MATH","SOCONPA","INFOJOB2","INFOJOB1","INFOCAR","ICTOUTSIDE","ICTCLASS","HOMESCH","ENTUSE","BELONG","MASTGOAL","RESILIENCE","SWBP","EUDMO","GFOFAIL","WORKMAST","COMPETE","ATTLNACT","PISADIFF","SCREADDIFF","SCREADCOMP","JOYREAD","TEACHINT","ADAPTIVITY","STIMREAD","PERFEED","DIRINS","TEACHSUP","DISCLIMA","ICTRES","WEALTH","HEDRES","CULTPOSS","HOMEPOS","ICTSCH","ICTHOME","ESCS","CHANGE","SCCHANGE","AGE","GRADE","ST016Q01NA","IMMIG","HISEI","HISCED","FISCED","MISCED","ISCEDL","ST001D01T","REPEAT","ST004D01T"
459.207,438.558,496.86,-1.5287,-0.7697,-0.2917,-0.7602,-1.3048,-1.2188,-0.9653,0.2818,-1.0677,-0.2151,0.8496,-0.5928,-0.6723,0.1097,-0.772,-0.4112,1.0844,0.2705,-0.0697,0.6632,-0.9873,-0.8687,-0.6894,-0.8885,-0.9181,-0.7874,-0.2835,0.5409,0.1042,-0.3952,-0.6853,-1.3205,-0.6318,6,6,-1.0631,0,0,15.75,0,6,1,25.94,4,4,4,2,9,0,2
443.511,459.983,422.771,0.3334,-0.1744,-0.9778,-0.7602,-1.3048,-1.2188,-1.0713,-0.2367,1.4903,-0.4347,0.3858,0.1038,0.8126,-1.8939,1.0596,-0.733,-0.6583,0.2705,-0.556,0.1222,-0.8216,0.3684,0.5464,1.3517,0.7743,0.0544,1.314,0.627,-0.6231,-0.5483,-0.8243,-0.9276,-0.8468,5,8,-0.7637,0,0,15.33,0,9,1,25.39,5,5,4,2,9,0,2
397.357,423.122,446.252,-1.089,-1.4728,-0.9778,-1.8673,-1.3048,0.8298,-2.2971,0.1844,-1.3172,-2.5252,-0.5782,1.2386,-1.2631,-1.8939,-2.7365,-0.2284,-1.4024,1.6524,-1.8876,1.8839,-1.7421,-2.2177,1.1813,-2.3003,0.6372,-0.6406,-1.3684,-2.7124,0.7693,2.1024,-4.4106,-1.9141,-0.6267,7,10,-2.0411,6,2,15.67,-1,3,3,24.98,1,1,1,2,8,0,1
520.122,492.037,470.785,0.3334,-1.4728,1.9988,-1.9166,-0.2444,-0.1651,-0.0251,0.2357,1.4685,0.9703,-0.4684,0.1869,-2.1464,0.176,-0.6545,0.4352,1.0844,-1.272,-0.0362,0.1222,-0.9395,0.9276,-0.474,2.0871,2.0165,0.4301,1.314,-0.1836,-1.5994,-0.9761,-1.3835,-1.9141,-1.6979,7,8,-1.4658,0,0,15.25,0,10,1,28.48,4,3,4,2,9,0,2
500.508,488.996,384.314,0.9078,0.2011,0.1054,-0.7602,-0.7233,-1.2188,-0.0578,0.1226,-0.4415,-0.8444,-0.0614,-0.5928,-0.3121,0.4637,0.6291,-0.2661,1.0844,-0.7816,-0.524,1.2374,0.4627,0.9276,2.0073,0.7551,2.0165,-0.1342,1.314,0.871,-0.281,-1.085,-0.5813,-1.9141,-1.2814,6,11,-1.2896,0,0,15.83,0,6,1,28.48,4,4,4,2,9,0,2
443.145,530.837,463.412,0.9078,-1.4728,1.0509,0.3712,0.1248,0.2245,0.358,-0.0331,0.6738,1.1101,0.4152,-0.5928,0.9269,-0.1748,1.8164,2.0054,-2.5375,0.2705,-1.8876,0.1222,-0.1042,0.5665,0.1067,0.8945,1.1522,1.8202,0.481,-0.707,-0.3629,0.2882,0.6981,1.8124,0.5876,7,10,-0.0368,0,0,15.25,0,10,1,52.72,4,2,4,2,9,0,2
502.436,499.78,448.346,0.9078,-0.1744,-0.9778,-0.4107,0.2858,0.6052,-0.9653,-0.6217,-0.4509,-0.2151,1.217,1.2386,0.8126,-1.4242,-1.071,-0.2661,-1.1664,0.9672,0.409,-0.7391,-0.9016,0.1744,-0.5786,-0.0999,0.7743,-0.1809,-0.0348,-0.1464,-0.1255,0.5106,0.0477,-0.9276,-0.1336,8,10,0.4679,0,0,15.42,0,10,1,61.57,6,2,6,2,9,0,1
574.863,590.762,534.087,0.1965,0.7611,-0.1992,0.3158,0.0112,0.4818,-0.4723,-0.716,-0.3184,-0.4347,-0.5176,-0.5928,-0.1652,1.1422,-1.071,0.571,-0.6583,-0.5536,0.9065,-0.4089,-0.6278,-0.2934,-0.5786,-0.6537,-0.3253,-1.7471,-0.7769,0.4922,0.5236,0.7895,0.0477,2.3457,1.3392,10,10,1.4242,0,0,16.17,1,7,1,79.05,6,6,6,3,10,0,1
497.861,494.975,490.03,-0.124,-1.4728,-0.2917,0.1231,-0.6237,-0.1651,-2.2971,-0.2252,-1.0013,-0.8444,-0.0614,-1.3186,-0.9827,0.4637,-0.1015,-0.5707,-0.6583,0.2705,0.795,-1.0985,-0.4556,0.1744,0.8329,0.313,0.7743,0.2636,0.2384,0.2621,0.2604,0.4522,-1.0118,-0.4948,-0.2455,9,10,-1.3672,0,0,16,2,5,1,26.64,2,1,2,3,11,0,1
507.957,580.133,503.812,0.9078,-0.4913,0.2662,0.5048,-0.1617,0.238,-0.4966,-0.6058,-0.3184,0.4317,-0.0614,-0.5928,-0.3121,-0.3799,-0.1015,-1.2263,1.0844,0.7192,-0.524,1.2374,0.3568,0.1744,0.836,0.7551,-0.3253,1.0067,0.7628,0.7767,0.7063,1.7519,0.0477,0.4235,0.8272,9,11,0.1774,0,0,15.92,1,6,1,24.98,6,6,4,3,10,0,1
